,SHINE ON VENTURES ,BAR ,AJARA BADAGRY ,BADAGRY ,AJARA ,SW,NIGERIA,CVFG+MJ Badagry,7086325487,"28 Ajara Dokohme Rd, 103242, Badagry"
,AYAW BAR ,WINE BAR ,SEME ROAD BADAGRY ,BADAGRY ,BADAGRY ,SW,NIGERIA,CVGQ+QW Badagry,8025689653,"By Badagry Round About, Seme Road, Badagry"
,CALABAR KITCHEN ,RESTAURANT ,SECRETARIAT ROAD BADAGRY ,BADAGRY ,AJARA,SW,NIGERIA,CVHR+VQ Badagry,8166597217,"Opposite MRS Fuel Station, Ajara, Secretariat Road, Badagry"
,ST RITCH MALL & CUISINE ,RESTAURANT ,103211 BADAGRY ,BADAGRY ,LOCAL GOVERNMENT BADAGRY ,SW,NIGERIA,CVJQ+J3 Badagry,9043500900,"Local Government, Beside NNPC filling Station, Adelabu St, 103211, Badagry"
,FM RESTAURANT ,RESTAURANT ,AJARA BADAGRY ,BADAGRY ,AJARA ,SW,NIGERIA,CVHR+VQ Badagry,7031813347,"Ajara, Old Lagos Rd, Badagry"
,RYHANCOOKS ,RESTAURANT ,103101 BADAGRY ,BADAGRY ,SOGLO,SW,NIGERIA,CV7H+WQ Badagry,8100398096,"Soglo Way, 103101, Badagry"
,GABBYZ PIZZA AND GRILLS ,FAST FOOD RESTAURANT ,103101 BADAGRY ,BADAGRY ,MARINA ,SW,NIGERIA,CV6J+VW Badagry,8079528051,"Local Government Area, 105 Marina Rd, opposite 103, 103101, Badagry"
,OMEIKA STAINLESS HOTEL AND RESTAURANT ,RESTAURANT ,AGUMO MARKET BADAGRY ,BADAGRY ,OKUAFO,SW,NIGERIA,FXWX+52 Ilogbo Eremi,8034223377,"Lagos Badagry okuafo after Agumo Market by right before health center Lagos, Badagry"
,OBAKEN MULTIPURPOSE EVENT CENTRE ,RESTAURANT ,103101 BADAGRY ,BADAGRY,BADAGRY ,SW,NIGERIA,F2G9+59 Ilogbo Eremi,8034002847,"Lagos - Badagry Expy, 103101"
,OGBONA BAR ,BAR ,IYANABA BADAGRY ,BADAGRY,IYANABA ,SW,NIGERIA,F58V+7H Lagos,8106932134,"Shop No. L 44, Alabarago Market, Iyanaba, Lagos - Badagry Expy, Lagos"
,DE-TWINS RESTAURANT ,RESTAURANT ,102101 OJO LAGOS ,BADAGRY,OJO,SW,NIGERIA,F5GH+3X Lagos,8033018788,"Shop No 1, Hassan Estate, Afromedia Road, Off Badagry Expressway, Ojo 102101, Lagos State"
,B& B COOL BAR ,BAR ,OJO BADAGRY EXPR WAY ,BADAGRY ,OJO ,SW,NIGERIA,F58V+8J Lagos,7033568525,"Alaba Modern Market, Alaba Rago, Ojo, Lagos - Badagry Expy, Lagos"
,IYA LATEEF RESTAURANT ,RESTAURANT ,ABULE ADO BADAGRY ,BADAGRY ,ABULE ADO ,SW,NIGERIA,F734+W4 Lagos,8025904609,"444 OLD OJO ROAD,OFF BADAGRY EXPREASS WAY ABULE ADO BUS STOP, 102262, Lagos"
,THE 60'S BAR AND RESTAURANT ,BAR ,IJEGUN IMORE SETELLITE TOWN ,BADAGRY ,SATELLITE TOWN ,SW,NIGERIA,C7QG+M3 Lagos,8063488065,"Plot 7 David street, Ijegun Imore, new site estate, Satellite Town, Lagos"
